table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
postgres,auth,users,email_change,14,null,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,14,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_factors,secret,8,null,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,8,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,audit_log_entries,ip_address,5,''::character varying,NO,character varying,64,256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,one_time_tokens,token_hash,4,null,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,flow_state,authentication_method,11,null,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,11,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,saml_providers,name_id_format,9,null,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,9,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,one_time_tokens,relates_to,5,null,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_factors,phone,9,null,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,9,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,phone,22,NULL::character varying,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,22,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_challenges,otp_code,6,null,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,phone_change,24,''::character varying,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,24,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,users,phone_change_token,25,''::character varying,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,25,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,flow_state,auth_code,3,null,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,auth,mfa_factors,friendly_name,3,null,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
